,gp0_Var_0_Bajo,gp0_Var_1_Bajo,gp0_Var_2_Bajo,gp0_Var_6_Bajo,gp0_Var_7_Bajo,gp3_Var_8_Bajo,gp_Var_9_Bajo,gp_Var_9_Medio,gp_Var_14_Medio,gp_Var_14_Bajo,gp_Var_15_Medio,gp_Var_15_Bajo,gpT_Var_13T_Alto,gpT_Var_13T_Medio,gpT_Var_10T_Medio,gpT_Var_10T_Bajo
3480,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
2708,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0
8896,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
576,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0
50,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
2578,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
5182,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
3033,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
1029,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
7994,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
8621,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
5111,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
2464,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
7696,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
879,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
1950,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
7683,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
8006,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
7960,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0
6569,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
1903,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
4599,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
5432,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
7369,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
4739,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
3123,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
3070,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4570,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
4338,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
8238,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
5078,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1
4140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1158,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1
7884,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
2886,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
34,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1
6561,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
241,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
3165,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0
8848,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
3898,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1
2252,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
7170,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
5752,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0
7303,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
391,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
2749,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0
2724,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0
6446,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
7309,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
3472,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
6062,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
5336,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1
6543,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
1175,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
3207,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0
5456,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
8609,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1
213,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1
3981,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
8186,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
4928,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0
355,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0
6823,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0
3348,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
4217,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5583,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
7047,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
5289,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
7782,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
6372,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
2927,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1
8851,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0
3322,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
4306,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1
4783,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1
5382,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
